"""Procedimento"";""Quantidade aprovada"";""Valor aprovado"""
"""0406040052 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT)"";59687;71289759,16"
"""0406040060 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NAO RECOBERTO)"";27636;33267497,55"
"""0406040079 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT RECOBERTO)"";1065;1182824,65"
"""0406040087 ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOCO / TRONCOS SUPRA-AORTICOS (SEM STENT)"";2634;3107973,36"
"""0406040095 ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOCO OU TRONCOS SUPRA-AORTICOS (COM STENT NAO RECOBERTO)"";13235;16636403,08"
"""0406040109 ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT NAO RECOBERTO"";2149;2356668,26"
"""0406040117 ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT RECOBERTO"";487;528034,25"
"""0406040125 ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS / RENAIS"";1227;1393085,27"
"""0406040133 ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOCO / TRONCOS SUPRA-AORTICOS (COM STENT RECOBERTO)"";867;983412,37"
"""0406040141 COLOCACAO PERCUTANEA DE FILTRO DE VEIA CAVA (NA TROMBOSE VENOSA PERIFERICA E EMBOLIA PULMONAR)"";7318;5836777,44"
"""0406040150 CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA ABDOMINAL COM ENDOPROTESE RETA / CONICA"";4766;10856609,75"
"""0406040168 CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA ABDOMINAL E ILIACAS COM ENDOPROTESE BIF"";10861;30661530,71"
"""0406040176 CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA TORACICA COM ENDOPROTESE RETA OU CONIC"";6439;17091935,37"
"""0406040184 CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DAS ILIACAS COM ENDOPROTESE TUBULAR"";7479;16677447,66"
"""0406040192 EMBOLIZACAO ARTERIAL DE HEMORRAGIA DIGESTIVA (INCLUI PROCEDIMENTO ENDOSCOPICO E/OU ESTUDO ANGIOGR"";2115;2670155,23"
"""0406040206 EMBOLIZACAO DE MALFORMACAO VASCULAR ARTERIO-VENOSA (INCLUI ESTUDO ANGIOGRAFICO)"";7151;8038706,32"
"""0406040214 EMBOLIZACAO DE MALFORMACAO VASCULAR POR PUNCAO DIRETA (INCLUI DROGAS EMBOLIZANTES)"";1517;1660318,89"
"""0406040222 FECHAMENTO PERCUTANEO DE FISTULAS ARTERIOVENOSAS COM LIBERACAO DE COILS"";1060;1116488,78"
"""0406040230 FIBRINOLISE INTRAVASCULAR POR CATETER (INCLUI FIBRINOLITICO)"";1863;2089883,35"
"""0406040249 FIBRINOLISE PARA EMBOLIA PULMONAR MACICA INTRAVASCULAR POR CATETER (INCLUI FIBRINOLITICO)"";92;94476,30"
"""0406040257 FIBRINOLISE VISCERAL INTRAVASCULAR POR CATETER (INCLUI FIBRINOLITICO)"";82;83522,74"
"""0406040265 IMPLANTACAO DE SHUNT INTRA-HEPATICO PORTO-SISTEMICO (TIPS) COM STENT NAO RECOBERTO"";598;1201306,42"
"""0406040273 OCLUSAO PERCUTANEA ENDOVASCULAR DE ARTERIA / VEIA"";1605;1795236,37"
"""0406040281 RECONSTRUCAO DA BIFURCACAO AORTO-ILIACA COM ANGIOPLASTIA E STENTS"";560;961080,24"
"""0406040290 TRATAMENTO DE EPISTAXE POR EMBOLIZACAO (INCLUI ESTUDO ANGIOGRAFICO E/OU ENDOSCOPICO)"";698;888124,20"
"""0406040303 TRATAMENTO DE HEMATURIA OU SANGRAMENTO GENITAL POR EMBOLIZACAO (INCLUI ESTUDO ANGIOGRAFICO E/OU EN"";2309;2731115,59"
"""0406040311 TRATAMENTO DE HEMOPTISE POR EMBOLIZACAO PERCUTANEA (INCLUI ESTUDO ANGIOGRAFICO)"";580;690588,35"
"""0406040320 TRATAMENTO ENDOVASCULAR DE FISTULAS ARTERIOVENOSAS"";1304;1552283,90"
"""0406040338 TRATAMENTO ENDOVASCULAR DO PSEUDOANEURISMA"";1569;1990242,83"
"""0406050015 ESTUDO ELETROFISIOLOGICO DIAGNOSTICO"";9823;35501441,83"
"""0406050023 ESTUDO ELETROFISIOLOGICO TERAPEUTICO I (ABLACAO DE FLUTTER ATRIAL)"";3868;24627906,76"
"""0406050031 ESTUDO ELETROFISIOLOGICO TERAPEUTICO I (ABLACAO DE TAQUICARDIA ATRIAL DIREITA)"";2191;12741876,18"
"""0406050040 ESTUDO ELETROFISIOLOGICO TERAPEUTICO I (ABLACAO DE TAQUICARDIA POR REENTRADA NODAL DE VIAS ANOMA"";12470;74010909,98"
"""0406050058 ESTUDO ELETROFISIOLOGICO TERAPEUTICO I (ABLACAO DO NODULO ARCHOV-TAWARA)"";587;4251121,58"
"""0406050066 ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DAS VIAS ANOMALAS MULTIPLAS)"";1936;11757852,01"
"""0406050074 ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DE FIBRILACAO ATRIAL)"";1776;17539861,83"
"""0406050082 ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DE TAQUICARDIA ATRIAL CICATRICIAL)"";174;1556451,07"
"""0406050090 ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DE TAQUICARDIA ATRIAL CICATRICIAL ESQUERDA)"";308;3305932,16"
"""0406050104 ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DE TAQUICARDIA ATRIAL ESQUERDA)"";649;4138510,20"
"""0406050112 ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DE TAQUICARDIA VENTRICULAR IDIOPATICA DO SEIO D"";1012;8521688,97"
"""0406050120 ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DE TAQUICARDIA VENTRICULAR SUSTENTADA COM CARDIO"";1190;8433865,49"
"""0406050139 ESTUDO ELETROFISIOLOGICO TERAPEUTICO II (ABLACAO DE VIAS ANOMALAS ESQUERDAS)"";4054;28293120,84"
"""0407010017 DEGASTROGASTRECTOMIA COM OU SEM VAGOTOMIA"";272;201044,68"
"""0407010025 DILATACAO ESOFAGICA / PILORICA"";1143;24939,84"
"""0407010033 ESOFAGECTOMIA DISTAL COM TORACOTOMIA"";584;1187444,04"
"""0407010041 ESOFAGECTOMIA DISTAL SEM TORACOTOMIA"";490;1006703,73"
"""0407010050 ESOFAGECTOMIA VIDEOLAPAROSCOPICA"";366;291679,80"
"""0407010068 ESOFAGO-COLONPLASTIA"";407;808326,63"
"""0407010076 ESOFAGOGASTRECTOMIA"";798;1022240,81"
"""0407010084 ESOFAGOPLASTIA / GASTROPLASTIA"";4413;3515450,15"
"""0407010092 ESOFAGORRAFIA CERVICAL"";1113;1001713,75"
"""0407010106 ESOFAGORRAFIA TORACICA"";1371;1149808,44"
"""0407010114 ESOFAGOSTOMIA"";1575;1336399,54"
"""0407010122 GASTRECTOMIA COM OU SEM DESVIO DUODENAL"";316;1444925,87"
"""0407010130 GASTRECTOMIA PARCIAL COM OU SEM VAGOTOMIA"";10145;9161084,06"
"""0407010149 GASTRECTOMIA TOTAL"";2106;1455979,31"
"""0407010157 GASTRECTOMIA VIDEOLAPAROSCOPICA"";294;181755,24"
"""0407010165 GASTROENTEROANASTOMOSE"";16303;14937644,82"
"""0407010173 GASTROPLASTIA COM DERIVACAO INTESTINAL"";22509;100998573,66"
"""0407010181 GASTROPLASTIA VERTICAL COM BANDA"";336;2756817,51"
"""0407010190 GASTRORRAFIA"";47068;33724345,66"
"""0407010203 GASTRORRAFIA VIDEOLAPAROSCOPICA"";930;488670,02"
"""0407010211 GASTROSTOMIA"";73012;50759161,38"
"""0407010220 GASTROSTOMIA VIDEOLAPAROSCOPICA"";4778;2699081,79"
"""0407010238 PILOROPLASTIA"";3626;3301807,15"
"""0407010246 RETIRADA DE CORPO ESTRANHO DO TUBO DIGESTIVO POR ENDOSCOPIA"";-;309851,38"
"""0407010254 RETIRADA DE POLIPO DO TUBO DIGESTIVO POR ENDOSCOPIA"";9880;322550,96"
"""0407010262 TAMPONAMENTO DE LESOES HEMORRAGICAS DO APARELHO DIGESTIVO"";544;11410,15"
"""0407010270 TRATAMENTO CIRURGICO DE ACALASIA (CARDIOMIOPLASTIA)"";3350;7955066,82"
"""0407010289 TRATAMENTO CIRURGICO DE DIVERTICULO DO TUBO DIGESTIVO"";927;759180,02"
"""0407010297 TRATAMENTO CIRURGICO DE REFLUXO GASTROESOFAGICO"";10547;8935753,38"
"""0407010300 TRATAMENTO CIRURGICO DE VARIZES ESOFAGICAS"";1227;1036628,90"
"""0407010335 TRATAMETO CIRURGICO DE MEGAESOFAGO SEM RESSECCAO/ CONSERVADOR"";912;1728366,72"
"""0407010343 VAGOTOMIA COM OPERACAO DE DRENAGEM"";93;58385,40"
"""0407010351 VAGOTOMIA SUPERSELETIVA / GASTRICA PROXIMAL"";170;120473,39"
"""0407010360 GASTRECTOMIA VERTICAL EM MANGA (SLEEVE)"";849;4131141,63"
"""0407010378 TRATAMENTO DE INTERCORRENCIAS CIRURGICA POS- CIRURGIA BARIATRICA"";361;354999,48"
"""0407010386 CIRURGIA BARIATRICA POR VIDEOLAPAROSCOPIA"";19179;166788512,34"
"""0407020012 AMPUTACAO COMPLETA ABDOMINO-PERINEAL DO RETO"";579;798455,80"
"""0407020020 AMPUTACAO POR PROCIDENCIA DE RETO"";329;243021,02"
"""0407020039 APENDICECTOMIA"";659653;283540309,35"
"""0407020047 APENDICECTOMIA VIDEOLAPAROSCOPICA"";78347;35350964,64"
"""0407020063 COLECTOMIA PARCIAL (HEMICOLECTOMIA)"";87855;176257810,90"
"""0407020071 COLECTOMIA TOTAL"";8752;13485412,04"
"""0407020080 COLECTOMIA VIDEOLAPAROSCOPICA"";623;918513,18"
"""0407020098 COLORRAFIA POR VIA ABDOMINAL"";15784;9962338,53"
"""0407020101 COLOSTOMIA"";119777;136702145,76"
"""0407020110 CRIPTECTOMIA UNICA / MULTIPLA"";416;86207,17"
"""0407020128 DILATACAO DIGITAL / INSTRUMENTAL DO ANUS E/OU RETO"";3558;48209,29"
"""0407020136 DRENAGEM DE ABSCESSO ANU-RETAL"";35754;6207709,26"
"""0407020144 DRENAGEM DE ABSCESSO ISQUIORRETAL"";4352;754127,09"
"""0407020152 DRENAGEM DE HEMATOMA / ABSCESSO RETRO-RETAL"";3064;1474019,33"
"""0407020179 ENTERECTOMIA"";110576;144814659,22"
"""0407020187 ENTEROANASTOMOSE (QUALQUER SEGMENTO)"";70734;80704708,36"
"""0407020195 ENTEROPEXIA (QUALQUER SEGMENTO)"";3328;2455280,80"
"""0407020209 ENTEROTOMIA E/OU ENTERORRAFIA C/ SUTURA / RESSECCAO (QUALQUER SEGMENTO)"";59365;46891787,85"
"""0407020217 ESFINCTEROTOMIA INTERNA E TRATAMENTO DE FISSURA ANAL"";12240;3330235,25"
"""0407020225 EXCISAO DE LESAO / TUMOR ANU-RETAL"";14801;5827629,07"
"""0407020233 EXCISAO DE LESAO INTESTINAL / MESENTERICA LOCALIZADA"";2014;1543292,10"
"""0407020241 FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO)"";24628;16365426,77"
"""0407020250 FECHAMENTO DE FISTULA DE COLON"";1737;1481052,74"
"""0407020268 FECHAMENTO DE FISTULA DE RETO"";2797;1192712,84"
"""0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL"";67103;25637212,12"
"""0407020284 HEMORROIDECTOMIA"";164083;64475009,92"
"""0407020292 HERNIORRAFIA COM RESSECCAO INTESTINAL (HERNIA ESTRANGULADA)"";5056;1955179,67"
"""0407020306 JEJUNOSTOMIA / ILEOSTOMIA"";91265;82684805,63"
"""0407020322 PLASTICA ANAL EXTERNA / ESFINCTEROPLASTIA ANAL"";6016;1479043,28"
"""0407020330 PROCTOCOLECTOMIA TOTAL COM RESERVATORIO ILEAL"";314;494941,50"
"""0407020349 PROCTOPEXIA ABDOMINAL POR PROCIDENCIA DO RETO"";458;183944,43"
"""0407020357 PROCTOPLASTIA E PROCTORRAFIA POR VIA PERINEAL"";2231;1189662,11"
"""0407020365 REDUCAO CIRURGICA DE VOLVO POR LAPAROTOMIA"";2676;2152371,35"
"""0407020381 REMOCAO CIRURGICA DE FECALOMA"";5742;2616500,81"
"""0407020403 RETOSSIGMOIDECTOMIA ABDOMINAL"";35611;54526971,03"
"""0407020411 RETOSSIGMOIDECTOMIA ABDOMINO-PERINEAL"";3954;6347100,47"
"""0407020420 TRATAMENTO CIRURGICO DE ANOMALIAS CONGENITAS DO ANUS E RETO"";2820;612821,69"
"""0407020438 TRATAMENTO CIRURGICO DE AUSENCIA DO RETO (ABDOMINO-PERINEAL)"";496;700912,47"
"""0407020446 TRATAMENTO CIRURGICO DE ILEO MECONIAL"";117;104294,62"
"""0407020454 TRATAMENTO CIRURGICO DE IMPERFURACAO MEMBRANOSA DO ANUS"";290;67992,62"
"""0407020462 TRATAMENTO CIRURGICO DE MA ROTACAO INTESTINAL"";3552;3719859,71"
"""0407020470 TRATAMENTO CIRURGICO DE PROLAPSO ANAL"";5934;1557444,58"
"""0407030018 ANASTOMOSE BILEO-DIGESTIVA"";15643;18508493,67"
"""0407030026 COLECISTECTOMIA"";689160;722303437,60"
"""0407030034 COLECISTECTOMIA VIDEOLAPAROSCOPICA"";766907;865068435,89"
"""0407030042 COLECISTOSTOMIA"";6169;3933855,27"
"""0407030050 COLEDOCOPLASTIA"";6801;3678732,06"
"""0407030069 COLEDOCOTOMIA COM OU SEM COLECISTECTOMIA"";13545;8274594,39"
"""0407030077 COLEDOCOTOMIA VIDEOLAPAROSCOPICA"";2742;1630305,41"
"""0407030123 ESPLENECTOMIA"";32562;35403799,94"
"""0407030131 HEPATECTOMIA PARCIAL"";4051;5382486,72"
"""0407030140 HEPATORRAFIA"";13343;17315487,75"
"""0407030158 HEPATORRAFIA COMPLEXA COM LESAO DE ESTRUTURAS VASCULARES BILIARES"";952;1200505,02"
"""0407030166 HEPATOTOMIA E DRENAGEM DE ABSCESSO / CISTO"";9297;8645516,93"
"""0407030174 MARSUPIALIZACAO DE ABSCESSO / CISTO"";1312;1164817,48"
"""0407030182 PANCREATECTOMIA PARCIAL"";3125;2382586,14"
"""0407030190 PANCREATECTOMIA VIDEOLAPAROSCOPICA"";169;114599,54"
"""0407030204 PANCREATO-DUODENECTOMIA"";1491;2627558,71"
"""0407030212 PANCREATO-ENTEROSTOMIA"";794;1328844,65"
"""0407030220 PANCREATOTOMIA PARA DRENAGEM"";1564;1296323,89"
"""0407030247 TRATAMENTO CIRURGICO DE CISTOS PANCREATICOS"";1388;2269650,62"
"""0407030255 COLANGIOPANCREATOGRAFIA RETROGRADA ENDOSCOPICA TERAPEUTICA"";82412;178139945,48"
"""0407040013 DRENAGEM DE ABSCESSO PELVICO"";48335;33224841,91"
"""0407040021 DRENAGEM DE ABSCESSO SUBFRENICO"";24630;25183226,34"
"""0407040030 DRENAGEM DE HEMATOMA / ABSCESSO PRE-PERITONEAL"";27287;12073751,64"
"""0407040048 HERNIOPLASTIA DIAFRAGMATICA (VIA ABDOMINAL)"";7326;6494842,63"
"""0407040056 HERNIOPLASTIA DIAFRAGMATICA (VIA TORACICA)"";2272;2106090,74"
"""0407040064 HERNIOPLASTIA EPIGASTRICA"";135338;121648768,15"
"""0407040072 HERNIOPLASTIA EPIGASTRICA VIDEOLAPAROSCOPICA"";766;318256,49"
"""0407040080 HERNIOPLASTIA INCISIONAL"";162314;102483704,90"
"""0407040099 HERNIOPLASTIA INGUINAL (BILATERAL)"";126565;83023754,18"
"""0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL)"";769188;545947521,18"
"""0407040110 HERNIOPLASTIA RECIDIVANTE"";16094;10223038,98"
"""0407040129 HERNIOPLASTIA UMBILICAL"";532431;276390804,65"
"""0407040137 HERNIORRAFIA INGUINAL VIDEOLAPAROSCOPICA"";8778;3576762,29"
"""0407040145 HERNIORRAFIA SEM RESSECCAO INTESTINAL (HERNIA ESTRANGULADA )"";13438;5837588,62"
"""0407040153 HERNIORRAFIA UMBILICAL VIDEOLAPAROSCOPICA"";6678;2456296,98"
"""0407040161 LAPAROTOMIA EXPLORADORA"";289863;192894788,06"
"""0407040170 LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA"";27155;18506992,66"
"""0407040188 LIBERACAO DE ADERENCIAS INTESTINAIS"";162672;127660040,36"
"""0407040196 PARACENTESE ABDOMINAL"";118344;1588887,28"
"""0407040200 PERITONIOSTOMIA COM TELA INORGANICA"";22478;17706209,84"
"""0407040218 PNEUMOPERITONIO (POR SESSAO)"";26232;362661,23"
"""0407040226 REPARACAO DE OUTRAS HERNIAS"";13721;5997511,06"
"""0407040234 RESSECCAO DO EPIPLOM"";14178;6103046,56"
"""0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO)"";62778;34465555,21"
"""0407040250 TRATAMENTO CIRURGICO DE PERITONITE"";61257;62186324,77"
"""0407040269 VAGOTOMIA VIDEOLAPAROSCOPICA"";46;34447,41"
"""0408010010 ARTRODESE DE GRANDES ARTICULACOES ESCAPULO-TORACICAS"";27;12913,20"
"""0408010029 ARTRODESE DE GRANDES ARTICULACOES ESCAPULO-UMERAIS"";227;95688,10"
"""0408010037 ARTROPLASTIA ESCAPULO-UMERAL (NAO CONVENCIONAL)"";264;175496,89"
"""0408010045 ARTROPLASTIA ESCAPULO-UMERAL PARCIAL"";4437;2945181,11"
"""0408010053 ARTROPLASTIA ESCAPULO-UMERAL TOTAL"";1503;974469,12"
"""0408010061 ARTROPLASTIA ESCAPULO-UMERAL TOTAL - REVISAO / RECONSTRUCAO"";411;266152,98"
"""0408010070 DESARTICULACAO DA ARTICULACAO ESCAPULO-UMERAL"";118;60727,67"
"""0408010088 DESARTICULACAO INTERESCAPULO-TORACICA"";24;29055,79"
"""0408010096 ESCAPULOPEXIA COM OU SEM OSTEOTOMIA DA ESCAPULA / RESSECCAO BARRA OMO-CERVICAL"";83;125720,59"
"""0408010100 OSTECTOMIA DA CLAVICULA OU DA ESCAPULA"";10818;5528762,24"
"""0408010118 OSTEOTOMIA DA CLAVICULA OU DA ESCAPULA"";8107;2217865,55"
"""0408010126 REDUCAO INCRUENTA DE FRATURA E FRATURA-LUXACAO AO NIVEL DA CINTURA ESCAPULAR"";1177;59319,13"
"""0408010134 REDUCAO INCRUENTA DE LUXACAO OU FRATURA / LUXACAO ESCAPULO-UMERAL"";53181;9322946,58"
"""0408010142 REPARO DE ROTURA DO MANGUITO ROTADOR (INCLUI PROCEDIMENTOS DESCOMPRESSIVOS)"";89454;49648190,52"
"""0408010150 TRATAMENTO CIRURGICO DE FRATURA DA CLAVICULA"";128661;50549335,73"
"""0408010169 TRATAMENTO CIRURGICO DE FRATURA DO COLO E CAVIDADE GLENOIDE DE ESCAPULA"";1932;773671,13"
"""0408010177 TRATAMENTO CIRURGICO DE FRATURA DO CORPO DE ESCAPULA"";1229;409242,62"
"""0408010185 TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR"";56213;22936543,41"
"""0408010193 TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESCAPULO-UMERAL AGUDA"";8526;2803188,54"
"""0408010207 TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESTERNO-CLAVICULAR"";1024;465064,98"
"""0408010215 TRATAMENTO CIRURGICO DE LUXACAO RECIDIVANTE / HABITUAL DE ARTICULACAO ESCAPULO-UMERAL"";9065;3762868,45"
"""0408010223 TRATAMENTO CIRURGICO DE RETARDO DE CONSOLIDACAO DA PSEUDARTROSE DE CLAVICULA / ESCAPULA"";5665;1636072,54"
"""0408010231 TRATAMENTO CIRURGICO DA SINDROME DO IMPACTO SUB-ACROMIAL"";14395;6957672,39"
"""0408020016 AMPUTACAO / DESARTICULACAO DE MAO E PUNHO"";4677;978687,55"
"""0408020024 AMPUTACAO / DESARTICULACAO DE MEMBROS SUPERIORES"";5725;2385204,43"
"""0408020032 ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO SUPERIOR"";6276;1701987,69"
"""0408020040 ARTROPLASTIA DE ARTICULACAO DA MAO"";692;236284,97"
"""0408020059 ARTROPLASTIA DE CABECA DO RADIO"";12846;3717714,15"
"""0408020067 ARTROPLASTIA DE PUNHO"";241;63432,00"
"""0408020075 ARTROPLASTIA TOTAL DE COTOVELO"";269;127405,59"
"""0408020083 ARTROPLASTIA TOTAL DE COTOVELO (REVISAO / RECONSTRUCAO)"";61;25204,44"
"""0408020091 RESSECCAO DO OLECRANO E/OU CABECA DO RADIO"";2632;924663,12"
"""0408020105 FASCIOTOMIA DE MEMBROS SUPERIORES"";10594;2158673,50"
"""0408020113 INSTALACAO DE TRACAO ESQUELETICA DO MEMBRO SUPERIOR"";-;8526,00"
"""0408020121 REALINHAMENTO DE MECANISMO EXTENSOR DOS DEDOS DA MAO"";5310;1137429,74"
"""0408020130 RECONSTRUCAO CAPSULO-LIGAMENTAR DE COTOVELO PUNHO"";14525;3193754,12"
"""0408020148 RECONSTRUCAO DE POLIA TENDINOSA DOS DEDOS DA MAO"";5861;1211718,39"
"""0408020156 REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA DE COTOVELO"";9358;1450209,20"
"""0408020164 REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA DO EXTREMO PROXIMAL DO UMERO"";9040;1194280,39"
"""0408020172 REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA NO PUNHO"";33663;3724179,74"
"""0408020180 REDUCAO INCRUENTA DE FRATURA / LUXACAO DE MONTEGGIA OU DE GALEAZZI"";1613;203656,94"
"""0408020199 REDUCAO INCRUENTA DE FRATURA DA DIAFISE DO UMERO"";7477;882975,58"
"""0408020202 REDUCAO INCRUENTA DE FRATURA DIAFISARIA DOS OSSOS DO ANTEBRACO"";56638;6704642,69"
"""0408020210 REDUCAO INCRUENTA DE FRATURA DOS METACARPIANOS"";17236;1877780,10"
"""0408020229 REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO DO COTOVELO"";18763;5313105,93"
"""0408020245 REDUCAO INCRUENTA DE LUXACAO OU FRATURA / LUXACAO NO PUNHO"";25513;2893288,30"
"""0408020253 REIMPLANTE DO OMBRO ATE O TERCO MEDIO DO ANTEBRACO"";20;57354,74"
"""0408020261 REIMPLANTE DO TERCO DISTAL DO ANTEBRACO ATE OS METACARPIANOS"";72;215728,16"
"""0408020270 REIMPLANTE OU REVASCULARIZACAO AO NIVEL DA MAO E OUTROS DEDOS (EXCETO POLEGAR)"";652;333058,01"
"""0408020288 REIMPLANTE OU REVASCULARIZACAO DO POLEGAR"";414;300919,36"
"""0408020296 REVISAO CIRUGICA DE COTO DE AMPUTACAO DO MEMBRO SUPERIOR (EXCETO MAO)"";1147;199561,96"
"""0408020300 TENOSINOVECTOMIA EM MEMBRO SUPERIOR"";15147;2621836,32"
"""0408020318 TRANSPOSICAO DA ULNA PARA O RADIO"";219;83252,49"
"""0408020326 TRATAMENTO CIRURGICO DE DEDO EM GATILHO"";25452;6222561,84"
"""0408020334 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DA EXTREMIDADE PROXIMAL DO UMERO"";74246;41311125,20"
"""0408020342 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DAS FALANGES DA MAO (COM FIXACAO)"";161771;34228246,09"
"""0408020350 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DE EPI~CONDILO / EPITROCLEA DO UMERO"";9651;2941721,47"
"""0408020369 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DO CONDILO / TROCLEA/APOFISE CORONOIDE DO ULNA /"";27012;10533907,05"
"""0408020377 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METACARPIANOS"";110524;30050728,99"
"""0408020385 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA SUPRACONDILIANA DO UMERO"";70394;40372931,32"
"""0408020393 TRATAMENTO CIRUGICO DE FRATURA DA DIAFISE DO UMERO"";75753;30742582,89"
"""0408020407 TRATAMENTO CIRURGICO DE FRATURA DA EXTREMIDADE / METAFISE DISTAL DOS OSSOS DO ANTEBRACO"";373233;101243927,05"
"""0408020415 TRATAMENTO CIRURGICO DE FRATURA DE EXTREMIDADES / METAFISE PROXIMAL DOS OSSOS DO ANTEBRACO"";30409;11524257,91"
"""0408020423 TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRACO (C/ SINTESE)"";118154;68951573,00"
"""0408020431 TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA UNICA DO RADIO / DA ULNA"";153087;44110651,11"
"""0408020440 TRATAMENTO CIRURGICO DE FRATURA LESAO FISARIA DOS OSSOS DO ANTEBRACO"";9339;1869226,65"
"""0408020458 TRATAMENTO CIRURGICO DE FRATURA-LUXACAO DE GALEAZZI / MONTEGGIA / ESSEX-LOPRESTI"";11637;4690270,18"
"""0408020466 TRATAMENTO CIRURGICO DE FRATURAS DOS OSSOS DO CARPO"";16617;4481159,08"
"""0408020474 TRATAMENTO CIRURGICO DE GIGANTISMO DA MAO"";56;11897,55"
"""0408020482 TRATAMENTO CIRURGICO DE LESAO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO"";38175;9460791,75"
"""0408020490 TRATAMENTO CIRURGICO DE LESAO DA MUSCULATURA INTRINSECA DA MAO"";1459;324705,86"
"""0408020504 TRATAMENTO CIRURGICO DE LESAO EVOLUTIVA FISARIA NO MEMBRO SUPERIOR"";582;159329,50"
"""0408020512 TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO CARPO-METACARPIANA"";15911;3539496,29"
"""0408020520 TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO DOS OSSOS DO CARPO"";12553;2704086,02"
"""0408020539 TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO METACARPO-FALANGIANA"";56791;11688562,23"
"""0408020547 TRATAMENTO CIRURGICO DE LUXACAO OU FRATURA-LUXACAO DO COTOVELO"";50232;16941989,45"
"""0408020555 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DA MAO"";3295;736366,54"
"""0408020563 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DO ANTEBRACO"";7355;3703280,92"
"""0408020571 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DO UMERO"";5651;2237059,53"
"""0408020580 TRATAMENTO CIRURGICO DE PSEUDARTROSE AO NIVEL DO COTOVELO"";1551;774618,53"
"""0408020598 TRATAMENTO CIRURGICO DE PSEUDARTROSE NA REGIAO METAFISE-EPIFISARIA DISTAL DO RADIO E ULNA"";8533;1906408,69"
"""0408020601 TRATAMENTO CIRURGICO DE PSEUDO-RETARDO / CONSOLIDACAO / PERDA OSSEA AO IIVEL DO CARPO"";2798;713605,85"
"""0408020610 TRATAMENTO CIRURGICO DE ROTURA / DESINSERCAO / ARRANCAMENTO CAPSULO-TENO-LIGAMENTAR NA MAO"";9526;2548196,61"
